ear,mar,pitch,yaw,vit_state,label
0.2833,0.0,1.2,4.27,0,1
0.2694,0.0192,0.82,4.92,0,1
0.2738,0.0,1.15,4.88,0,1
0.2712,0.0189,0.88,4.52,0,1
0.2707,0.0,0.77,4.34,0,1
0.2041,0.0,0.59,5.06,0,1
0.1511,0.0189,0.67,4.69,0,1
0.1405,0.0,0.65,4.71,0,1
0.2371,0.0,0.91,4.76,0,1
0.2776,0.0,1.28,5.12,0,1
0.2605,0.0,1.28,5.08,0,1
0.2578,0.0,0.7,4.53,0,1
0.2589,0.0,0.76,4.74,0,1
0.2795,0.0,1.35,5.18,0,1
0.2613,0.0,0.97,4.67,0,1
0.2457,0.0,0.51,5.0,0,1
0.2534,0.02,0.74,4.87,0,1
0.2672,0.0,1.09,5.08,0,1
0.269,0.0,0.83,5.17,0,1
0.2817,0.0,0.59,4.66,0,1
0.2728,0.0192,0.23,5.23,0,1
0.2763,0.0196,0.93,5.16,0,1
0.2745,0.0,1.36,5.16,0,1
0.2836,0.0,1.08,4.49,0,1
0.2541,0.02,0.91,4.77,0,1
0.2839,0.0,0.73,4.63,0,1
0.2859,0.0192,0.86,5.3,0,1
0.2699,0.0,0.49,4.6,0,1
0.2542,0.0196,0.25,4.46,0,1
0.2723,0.0,0.47,4.47,0,1
0.2732,0.0196,0.43,4.47,0,1
0.262,0.0,0.81,4.15,0,1
0.2593,0.0,1.28,3.84,0,1
0.2492,0.0,1.45,4.44,0,1
0.276,0.0,1.41,4.54,0,1
0.2816,0.0,1.35,4.57,0,1
0.2635,0.0,1.3,4.32,0,1
0.2798,0.0,2.0,4.03,0,1
0.2761,0.0196,1.39,4.8,0,1
0.2544,0.0,1.19,4.33,0,1
0.2494,0.0,1.24,4.23,0,1
0.2624,0.0192,1.99,4.72,0,1
0.2809,0.0196,1.42,4.55,0,1
0.2728,0.0,1.03,4.11,0,1
0.2821,0.0,1.85,5.59,0,1
0.2855,0.0,0.43,4.46,0,1
0.2769,0.0,1.07,4.28,0,1
0.2818,0.0199,1.1,4.05,0,1
